id,import_id,deliveries_id
219,219,51662
219,219,51663
219,219,51664
219,219,51665
219,219,51666
219,219,51667
219,219,51668
219,219,51669
219,219,51670
219,219,51671
219,219,51672
219,219,51673
219,219,51674
219,219,51675
219,219,51676
219,219,51677
219,219,51678
219,219,51679
219,219,51680
219,219,51681
219,219,51682
219,219,51683
219,219,51684
219,219,51685
219,219,51686
219,219,51687
219,219,51688
219,219,51689
219,219,51690
219,219,51691
219,219,51692
219,219,51693
219,219,51694
219,219,51695
219,219,51696
219,219,51697
219,219,51698
219,219,51699
219,219,51700
219,219,51701
219,219,51702
219,219,51703
219,219,51704
219,219,51705
219,219,51706
219,219,51707
219,219,51708
219,219,51709
219,219,51710
219,219,51711
219,219,51712
219,219,51713
219,219,51714
219,219,51715
219,219,51716
219,219,51717
219,219,51718
219,219,51719
219,219,51720
219,219,51721
219,219,51722
219,219,51723
219,219,51724
219,219,51725
219,219,51726
219,219,51727
219,219,51728
219,219,51729
219,219,51730
219,219,51731
219,219,51732
219,219,51733
219,219,51734
219,219,51735
219,219,51736
219,219,51737
219,219,51738
219,219,51739
219,219,51740
219,219,51741
219,219,51742
219,219,51743
219,219,51744
219,219,51745
219,219,51746
219,219,51747
219,219,51748
219,219,51749
219,219,51750
219,219,51751
219,219,51752
219,219,51753
219,219,51754
219,219,51755
219,219,51756
219,219,51757
219,219,51758
219,219,51759
219,219,51760
219,219,51761
219,219,51762
219,219,51763
219,219,51764
219,219,51765
219,219,51766
219,219,51767
219,219,51768
219,219,51769
219,219,51770
219,219,51771
219,219,51772
219,219,51773
219,219,51774
219,219,51775
219,219,51776
219,219,51777
219,219,51778
219,219,51779
219,219,51780
219,219,51781
219,219,51782
219,219,51783
219,219,51784
219,219,51785
219,219,51786
219,219,51787
219,219,51788
219,219,51789
219,219,51790
219,219,51791
219,219,51792
219,219,51793
219,219,51794
219,219,51795
219,219,51796
219,219,51797
219,219,51798
219,219,51799
219,219,51800
219,219,51801
219,219,51802
219,219,51803
219,219,51804
219,219,51805
219,219,51806
219,219,51807
219,219,51808
219,219,51809
219,219,51810
219,219,51811
219,219,51812
219,219,51813
219,219,51814
219,219,51815
219,219,51816
219,219,51817
219,219,51818
219,219,51819
219,219,51820
219,219,51821
219,219,51822
219,219,51823
219,219,51824
219,219,51825
219,219,51826
219,219,51827
219,219,51828
219,219,51829
219,219,51830
219,219,51831
219,219,51832
219,219,51833
219,219,51834
219,219,51835
219,219,51836
219,219,51837
219,219,51838
219,219,51839
219,219,51840
219,219,51841
219,219,51842
219,219,51843
219,219,51844
219,219,51845
219,219,51846
219,219,51847
219,219,51848
219,219,51849
219,219,51850
219,219,51851
219,219,51852
219,219,51853
219,219,51854
219,219,51855
219,219,51856
219,219,51857
219,219,51858
219,219,51859
219,219,51860
219,219,51861
219,219,51862
219,219,51863
219,219,51864
219,219,51865
219,219,51866
219,219,51867
219,219,51868
219,219,51869
219,219,51870
219,219,51871
219,219,51872
219,219,51873
219,219,51874
219,219,51875
219,219,51876
219,219,51877
219,219,51878
219,219,51879
219,219,51880
219,219,51881
219,219,51882
219,219,51883
219,219,51884
219,219,51885
219,219,51886
219,219,51887
219,219,51888
219,219,51889
219,219,51890
219,219,51891
219,219,51892
219,219,51893
219,219,51894
219,219,51895
219,219,51896
219,219,51897
219,219,51898
219,219,51899
219,219,51900
219,219,51901
219,219,51902
220,220,51903
220,220,51904
220,220,51905
220,220,51906
220,220,51907
220,220,51908
220,220,51909
220,220,51910
220,220,51911
220,220,51912
220,220,51913
220,220,51914
220,220,51915
220,220,51916
220,220,51917
220,220,51918
220,220,51919
220,220,51920
220,220,51921
220,220,51922
220,220,51923
220,220,51924
220,220,51925
220,220,51926
220,220,51927
220,220,51928
220,220,51929
220,220,51930
220,220,51931
220,220,51932
220,220,51933
220,220,51934
220,220,51935
220,220,51936
220,220,51937
220,220,51938
220,220,51939
220,220,51940
220,220,51941
220,220,51942
220,220,51943
220,220,51944
220,220,51945
220,220,51946
220,220,51947
220,220,51948
220,220,51949
220,220,51950
220,220,51951
220,220,51952
220,220,51953
220,220,51954
220,220,51955
220,220,51956
220,220,51957
220,220,51958
220,220,51959
220,220,51960
220,220,51961
220,220,51962
220,220,51963
220,220,51964
220,220,51965
220,220,51966
220,220,51967
220,220,51968
220,220,51969
220,220,51970
220,220,51971
220,220,51972
220,220,51973
220,220,51974
220,220,51975
220,220,51976
220,220,51977
220,220,51978
220,220,51979
220,220,51980
220,220,51981
220,220,51982
220,220,51983
220,220,51984
220,220,51985
220,220,51986
220,220,51987
220,220,51988
220,220,51989
220,220,51990
220,220,51991
220,220,51992
220,220,51993
220,220,51994
220,220,51995
220,220,51996
220,220,51997
220,220,51998
220,220,51999
220,220,52000
220,220,52001
220,220,52002
220,220,52003
220,220,52004
220,220,52005
220,220,52006
220,220,52007
220,220,52008
220,220,52009
220,220,52010
220,220,52011
220,220,52012
220,220,52013
220,220,52014
220,220,52015
220,220,52016
220,220,52017
220,220,52018
220,220,52019
220,220,52020
220,220,52021
220,220,52022
220,220,52023
220,220,52024
220,220,52025
220,220,52026
220,220,52027
220,220,52028
220,220,52029
220,220,52030
220,220,52031
220,220,52032
220,220,52033
220,220,52034
220,220,52035
220,220,52036
220,220,52037
220,220,52038
220,220,52039
220,220,52040
220,220,52041
220,220,52042
220,220,52043
220,220,52044
220,220,52045
220,220,52046
220,220,52047
220,220,52048
220,220,52049
220,220,52050
220,220,52051
220,220,52052
220,220,52053
220,220,52054
220,220,52055
220,220,52056
220,220,52057
220,220,52058
220,220,52059
220,220,52060
220,220,52061
220,220,52062
220,220,52063
220,220,52064
220,220,52065
220,220,52066
220,220,52067
220,220,52068
220,220,52069
220,220,52070
220,220,52071
220,220,52072
220,220,52073
220,220,52074
220,220,52075
220,220,52076
220,220,52077
220,220,52078
220,220,52079
220,220,52080
220,220,52081
220,220,52082
220,220,52083
220,220,52084
220,220,52085
220,220,52086
220,220,52087
220,220,52088
220,220,52089
220,220,52090
220,220,52091
220,220,52092
220,220,52093
220,220,52094
220,220,52095
220,220,52096
220,220,52097
220,220,52098
220,220,52099
220,220,52100
220,220,52101
220,220,52102
220,220,52103
220,220,52104
220,220,52105
220,220,52106
220,220,52107
220,220,52108
220,220,52109
220,220,52110
220,220,52111
220,220,52112
220,220,52113
220,220,52114
220,220,52115
220,220,52116
220,220,52117
220,220,52118
220,220,52119
220,220,52120
220,220,52121
220,220,52122
220,220,52123
220,220,52124
220,220,52125
220,220,52126
220,220,52127
220,220,52128
220,220,52129
220,220,52130
220,220,52131
220,220,52132
220,220,52133
220,220,52134
220,220,52135
220,220,52136
220,220,52137
220,220,52138
220,220,52139
220,220,52140
220,220,52141
220,220,52142
220,220,52143
220,220,52144
220,220,52145
220,220,52146
220,220,52147
220,220,52148
220,220,52149
220,220,52150
220,220,52151
221,221,52152
221,221,52153
221,221,52154
221,221,52155
221,221,52156
221,221,52157
221,221,52158
221,221,52159
221,221,52160
221,221,52161
221,221,52162
221,221,52163
221,221,52164
221,221,52165
221,221,52166
221,221,52167
221,221,52168
221,221,52169
221,221,52170
221,221,52171
221,221,52172
221,221,52173
221,221,52174
221,221,52175
221,221,52176
221,221,52177
221,221,52178
221,221,52179
221,221,52180
221,221,52181
221,221,52182
221,221,52183
221,221,52184
221,221,52185
221,221,52186
221,221,52187
221,221,52188
221,221,52189
221,221,52190
221,221,52191
221,221,52192
221,221,52193
221,221,52194
221,221,52195
221,221,52196
221,221,52197
221,221,52198
221,221,52199
221,221,52200
221,221,52201
221,221,52202
221,221,52203
221,221,52204
221,221,52205
221,221,52206
221,221,52207
221,221,52208
221,221,52209
221,221,52210
221,221,52211
221,221,52212
221,221,52213
221,221,52214
221,221,52215
221,221,52216
221,221,52217
221,221,52218
221,221,52219
